老磊,拌(疙),0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑
2022-01-01,"4,411",677,472,504,647,664,593,563,186,105
2022-01-02,"3,825",519,463,480,580,594,497,458,156,78
2022-01-03,"3,124",488,388,388,475,492,362,347,123,61
2022-01-04,"3,019",415,356,421,474,458,393,339,98,65
2022-01-05,"4,441",522,554,578,754,756,560,439,169,109
2022-01-06,"4,118",555,505,612,629,685,506,407,130,89
2022-01-07,"3,706",442,453,571,609,604,480,351,111,85
2022-01-08,"3,502",408,408,568,554,524,493,366,132,49
2022-01-09,"3,365",423,454,527,525,522,415,323,110,66
2022-01-10,"3,003",396,404,478,456,474,370,262,93,70
2022-01-11,"3,087",424,460,499,482,511,330,256,83,42
2022-01-12,"4,380",452,553,851,763,759,496,294,126,86
2022-01-13,"4,158",476,562,758,707,699,476,291,101,88
2022-01-14,"4,534",454,665,"1,070",767,698,394,291,102,93
2022-01-15,"4,412",508,633,951,741,627,454,289,113,96
2022-01-16,"4,183",557,606,817,636,635,467,260,108,97
2022-01-17,"3,852",582,582,643,574,600,438,224,85,124
2022-01-18,"4,064",573,656,748,625,611,455,243,95,58
2022-01-19,"5,795",752,936,"1,112",925,984,583,307,105,91
2022-01-20,"6,598",735,"1,106","1,433",990,"1,034",670,345,149,136
2022-01-21,"6,762",703,"1,170","1,531","1,095","1,023",652,343,150,95
2022-01-22,"6,987",764,"1,246","1,556","1,080","1,047",699,361,125,109
2022-01-23,"7,620",908,"1,365","1,588","1,130","1,131",749,432,135,182
2022-01-24,"7,505",954,"1,325","1,459","1,109","1,209",805,392,147,105
2022-01-25,"8,568","1,167","1,572","1,708","1,333","1,357",821,383,135,92
2022-01-26,"12,998","1,516","2,421","2,732","2,042","2,093","1,199",607,211,177
2022-01-27,"14,506","1,652","2,808","3,283","2,080","2,227","1,333",650,241,232
2022-01-28,"16,079","1,677","2,934","3,856","2,325","2,488","1,511",787,280,221
2022-01-29,"17,499","1,915","3,229","4,019","2,568","2,656","1,732",844,300,236
2022-01-30,"17,513","1,930","3,233","3,824","2,610","2,700","1,737",929,334,216
2022-01-31,"17,066","1,998","3,250","3,515","2,570","2,662","1,670",889,309,203
2022-02-01,"18,327","2,312","3,471","3,727","2,591","2,919","1,848",945,304,210
2022-02-02,"20,259","2,416","3,672","4,051","2,945","3,313","2,137","1,069",394,262
2022-02-03,"22,832","2,701","3,908","4,682","3,500","3,828","2,387","1,173",392,261
2022-02-04,"27,421","2,886","4,370","5,916","4,155","4,607","2,971","1,557",579,380
2022-02-05,"36,309","3,748","5,429","7,759","5,512","5,785","3,853","2,537","1,035",651
2022-02-06,"38,674","4,007","5,875","7,870","5,674","6,159","4,314","2,814","1,285",676
2022-02-07,"35,255","3,539","5,235","7,234","5,195","5,636","4,102","2,477","1,127",710
