일자,계(명),남성(명),여성(명)
2022-01-01,"4,411","2,160","2,251"
2022-01-02,"3,825","1,897","1,928"
2022-01-03,"3,124","1,591","1,533"
2022-01-04,"3,019","1,561","1,458"
2022-01-05,"4,441","2,240","2,201"
2022-01-06,"4,118","2,087","2,031"
2022-01-07,"3,706","1,881","1,825"
2022-01-08,"3,502","1,783","1,719"
2022-01-09,"3,365","1,708","1,657"
2022-01-10,"3,003","1,570","1,433"
2022-01-11,"3,087","1,570","1,517"
2022-01-12,"4,380","2,410","1,970"
2022-01-13,"4,158","2,188","1,970"
2022-01-14,"4,534","2,458","2,076"
2022-01-15,"4,412","2,358","2,054"
2022-01-16,"4,183","2,146","2,037"
2022-01-17,"3,852","1,934","1,918"
2022-01-18,"4,064","2,088","1,976"
2022-01-19,"5,795","2,953","2,842"
2022-01-20,"6,598","3,367","3,231"
2022-01-21,"6,762","3,504","3,258"
2022-01-22,"6,987","3,481","3,506"
2022-01-23,"7,620","3,845","3,775"
2022-01-24,"7,505","3,781","3,724"
2022-01-25,"8,568","4,247","4,321"
2022-01-26,"12,998","6,568","6,430"
2022-01-27,"14,506","7,180","7,326"
2022-01-28,"16,079","7,821","8,258"
2022-01-29,"17,499","8,628","8,871"
2022-01-30,"17,513","8,788","8,725"
2022-01-31,"17,066","8,439","8,627"
2022-02-01,"18,327","9,200","9,127"
2022-02-02,"20,259","10,033","10,226"
2022-02-03,"22,832","11,045","11,787"
2022-02-04,"27,421","13,389","14,032"
2022-02-05,"36,309","17,326","18,983"
2022-02-06,"38,674","18,439","20,235"
2022-02-07,"35,255","16,998","18,257"
2022-02-08,"36,696","17,843","18,853"
2022-02-09,"49,511","24,154","25,357"
2022-02-10,"54,103","26,298","27,805"
2022-02-11,"53,862","26,475","27,387"
2022-02-12,"54,917","26,816","28,101"
2022-02-13,"56,363","27,512","28,851"
2022-02-14,"54,524","26,582","27,942"
2022-02-15,"57,140","28,136","29,004"
2022-02-16,"90,411","44,203","46,208"
2022-02-17,"93,104","44,586","48,518"
2022-02-18,"109,781","52,860","56,921"
2022-02-19,"102,174","48,879","53,295"
2022-02-20,"104,794","50,115","54,679"
2022-02-21,"95,337","45,676","49,661"
2022-02-22,"99,531","48,271","51,260"
2022-02-23,"171,415","82,724","88,691"
2022-02-24,"169,974","80,953","89,021"
2022-02-25,"165,834","78,725","87,109"
2022-02-26,"166,169","78,390","87,779"
2022-02-27,"163,525","77,584","85,941"
2022-02-28,"139,604","66,553","73,051"
2022-03-01,"138,966","67,702","71,264"
2022-03-02,"219,195","104,518","114,677"
2022-03-03,"198,783","94,806","103,977"
2022-03-04,"266,820","126,181","140,639"
2022-03-05,"254,284","118,247","136,037"
2022-03-06,"243,589","113,317","130,272"
2022-03-07,"210,679","98,777","111,902"
2022-03-08,"202,645","98,064","104,581"
2022-03-09,"342,396","163,306","179,090"
2022-03-10,"327,492","152,845","174,647"
2022-03-11,"282,949","132,850","150,099"
2022-03-12,"383,611","180,022","203,589"
2022-03-13,"350,126","165,480","184,646"
2022-03-14,"309,741","145,784","163,957"
2022-03-15,"362,222","173,182","189,040"
2022-03-16,"400,445","190,320","210,125"
2022-03-17,"621,035","288,715","332,320"
2022-03-18,"406,778","189,045","217,733"
2022-03-19,"381,317","177,087","204,230"
2022-03-20,"334,545","155,141","179,404"
2022-03-21,"209,087","99,082","110,005"
2022-03-22,"353,850","166,804","187,046"
2022-03-23,"490,671","226,915","263,756"
2022-03-24,"395,487","181,681","213,806"
2022-03-25,"339,420","156,617","182,803"
2022-03-26,"335,475","155,677","179,798"
2022-03-27,"318,013","146,890","171,123"
2022-03-28,"187,129","89,493","97,636"
2022-03-29,"347,434","164,190","183,244"
2022-03-30,"424,532","196,791","227,741"
2022-03-31,"320,654","146,746","173,908"
2022-04-01,"280,210","128,501","151,709"
2022-04-02,"264,132","121,332","142,800"
2022-04-03,"234,233","107,589","126,644"
2022-04-04,"127,154","60,339","66,815"
2022-04-05,"266,066","123,845","142,221"
2022-04-06,"286,222","131,711","154,511"
2022-04-07,"224,763","103,129","121,634"
2022-04-08,"205,286","94,008","111,278"
2022-04-09,"185,506","85,108","100,398"
2022-04-10,"164,426","75,082","89,344"
2022-04-11,"90,895","43,144","47,751"
2022-04-12,"210,695","98,378","112,317"
2022-04-13,"195,363","90,033","105,330"
2022-04-14,"148,412","67,764","80,648"
2022-04-15,"125,807","57,338","68,469"
2022-04-16,"107,877","48,852","59,025"
2022-04-17,"92,957","41,701","51,256"
2022-04-18,"47,715","22,307","25,408"
2022-04-19,"118,460","55,021","63,439"
2022-04-20,"111,278","51,295","59,983"
2022-04-21,"90,830","41,242","49,588"
2022-04-22,"81,033","36,592","44,441"
2022-04-23,"75,401","34,411","40,990"
2022-04-24,"64,672","29,313","35,359"
