일자,계(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2022-01-01,62,27,7,2,1,1,1,0,0,13,0,0,3,0,1,5,1,0
2022-01-02,69,26,8,2,2,0,2,1,0,19,0,1,2,0,2,4,0,0
2022-01-03,36,8,1,1,6,0,3,0,0,10,0,3,1,0,0,0,3,0
2022-01-04,51,18,9,0,5,2,1,0,0,8,1,0,2,2,0,1,2,0
2022-01-05,57,23,9,0,2,0,1,0,0,12,2,1,3,1,0,2,1,0
2022-01-06,49,10,3,2,6,2,3,0,0,13,0,1,1,3,0,4,1,0
2022-01-07,45,15,3,2,6,0,1,0,0,9,3,1,0,1,0,1,3,0
2022-01-08,54,21,6,2,6,0,0,0,0,10,0,1,1,1,3,1,2,0
2022-01-09,51,21,1,1,3,1,0,1,0,15,0,1,2,1,0,1,3,0
2022-01-10,34,10,3,0,2,0,0,0,0,9,0,1,2,2,1,2,2,0
2022-01-11,43,13,3,4,4,1,1,0,0,15,0,0,1,0,0,1,0,0
2022-01-12,52,18,4,1,4,1,0,1,0,15,0,1,1,1,0,2,3,0
2022-01-13,44,13,1,1,3,2,1,0,0,15,2,0,2,3,0,1,0,0
2022-01-14,49,15,8,0,2,1,3,0,0,17,0,0,0,0,1,1,1,0
2022-01-15,22,9,0,0,5,0,0,0,0,7,0,0,1,0,0,0,0,0
2022-01-16,29,11,1,3,2,0,0,0,0,5,0,1,4,0,0,1,1,0
2022-01-17,23,7,3,0,0,2,3,0,0,3,0,0,4,1,0,0,0,0
2022-01-18,45,12,3,0,2,3,0,0,0,19,0,2,3,0,0,1,0,0
2022-01-19,74,44,2,1,1,2,2,0,0,16,1,0,1,2,1,1,0,0
2022-01-20,28,10,0,1,0,3,0,1,0,10,2,0,1,0,0,0,0,0
2022-01-21,21,5,2,0,1,2,3,0,0,6,1,0,1,0,0,0,0,0
2022-01-22,28,13,1,0,1,3,0,0,0,4,1,0,1,0,0,2,2,0
2022-01-23,11,5,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
2022-01-24,25,8,2,0,0,3,0,0,0,5,1,0,2,0,0,3,1,0
2022-01-25,23,7,1,1,2,1,0,0,0,4,0,0,2,0,0,5,0,0
2022-01-26,32,9,1,0,3,2,0,0,0,10,1,1,1,0,0,3,1,0
2022-01-27,34,4,3,1,1,2,1,0,0,16,0,1,3,2,0,0,0,0
2022-01-28,24,1,2,0,0,5,0,0,0,14,0,0,1,0,0,1,0,0
2022-01-29,34,8,0,0,0,3,0,0,0,15,1,1,3,0,1,2,0,0
2022-01-30,20,2,0,2,1,1,2,0,0,6,0,0,1,0,0,5,0,0
2022-01-31,23,1,1,0,2,1,0,0,0,13,0,0,3,0,0,2,0,0
2022-02-01,17,2,0,0,0,2,1,0,0,6,1,0,1,1,0,3,0,0
2022-02-02,15,3,1,0,1,3,1,0,0,2,0,1,1,1,0,1,0,0
2022-02-03,25,6,1,1,0,2,1,0,0,5,1,0,1,2,0,4,1,0
2022-02-04,24,3,0,1,2,0,0,0,0,5,1,2,4,1,0,4,1,0
2022-02-05,22,5,1,3,1,1,1,0,0,8,0,1,0,0,0,1,0,0
2022-02-06,15,4,0,2,0,2,0,0,0,3,0,1,1,0,0,1,1,0
2022-02-07,13,2,2,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0
2022-02-08,36,4,1,4,0,1,0,1,0,12,0,2,0,5,0,5,1,0
2022-02-09,21,3,0,0,2,0,0,0,0,7,1,0,0,2,0,5,1,0
2022-02-10,20,5,0,2,1,1,1,0,0,5,0,0,0,1,1,2,1,0
2022-02-11,49,7,1,4,5,4,3,0,0,13,2,2,3,1,0,3,1,0
2022-02-12,33,3,2,8,4,0,2,0,0,6,0,1,4,0,0,2,1,0
2022-02-13,36,10,3,0,1,0,1,0,0,9,1,2,1,1,1,5,0,1
2022-02-14,21,5,3,0,0,1,2,0,0,7,0,1,1,0,0,1,0,0
2022-02-15,61,7,0,10,8,1,1,0,0,21,0,1,4,2,0,6,0,0
2022-02-16,39,8,5,3,1,1,2,0,0,14,0,1,2,2,0,0,0,0
2022-02-17,36,7,3,1,2,1,0,0,0,12,0,0,3,2,0,4,1,0
2022-02-18,45,8,4,2,6,0,0,1,0,14,1,0,2,4,1,1,1,0
2022-02-19,71,11,8,7,5,1,2,2,0,12,2,6,3,5,1,4,2,0
2022-02-20,51,4,2,2,7,0,1,0,0,17,1,0,4,2,2,7,2,0
2022-02-21,45,10,5,2,2,0,1,2,0,5,5,0,4,1,0,8,0,0
2022-02-22,58,10,5,4,3,0,1,0,1,10,4,2,4,5,1,7,1,0
2022-02-23,99,13,16,3,8,2,3,3,0,26,3,2,9,0,1,4,3,3
2022-02-24,82,11,7,10,2,2,1,5,0,18,5,1,4,3,2,8,2,1
2022-02-25,94,12,8,3,11,1,3,2,0,26,0,2,5,3,0,13,2,3
2022-02-26,112,19,10,6,11,4,4,3,0,28,4,4,3,3,0,9,4,0
2022-02-27,49,7,5,4,2,1,3,3,0,8,3,3,4,3,0,3,0,0
2022-02-28,114,36,10,7,11,0,0,1,1,23,1,1,3,6,2,7,4,1
2022-03-01,112,26,10,3,8,1,2,2,0,27,5,1,3,8,1,9,5,1
2022-03-02,96,18,14,4,6,0,5,2,0,19,2,4,5,2,2,8,5,0
2022-03-03,128,18,9,7,7,4,10,6,0,30,3,1,6,4,1,6,16,0
2022-03-04,185,34,20,12,15,2,8,0,0,41,7,7,6,9,3,12,8,1
2022-03-05,216,31,24,11,18,8,9,1,0,50,6,9,12,10,5,12,8,2
2022-03-06,161,26,16,11,22,5,8,3,0,34,6,4,4,3,1,7,11,0
2022-03-07,139,23,15,18,11,1,6,4,0,12,7,6,8,8,1,14,5,0
2022-03-08,186,25,27,13,16,0,6,4,0,42,11,4,4,3,3,12,15,1
2022-03-09,158,23,16,15,15,6,2,0,0,49,7,5,4,9,0,2,4,1
