시도명,시군구,누적확진자(명),누적사망자(명),"발생률(인구10만명당, 명)","사망률(인구10만명당, 명)"
서울,합계,"6,751,223","6,675","71,605",71
부산,합계,"2,092,592","2,941","63,071",89
대구,합계,"1,516,396","2,069","64,133",88
인천,합계,"1,991,875","1,969","67,127",66
광주,합계,"1,018,481",875,"71,170",61
대전,합계,"1,013,271","1,011","70,071",70
울산,합계,"738,120",546,"66,458",49
세종,합계,"273,413",60,"71,277",16
경기,합계,"9,266,555","8,643","68,189",64
강원,합계,"1,005,827","1,416","65,462",92
충북,합계,"1,075,459","1,096","67,424",69
충남,합계,"1,390,748","1,645","65,507",77
전북,합계,"1,167,903","1,279","65,998",72
전남,합계,"1,142,438","1,090","62,851",60
경북,합계,"1,581,188","2,182","60,822",84
경남,합계,"2,075,970","2,102","63,282",64
제주,합계,"451,522",319,"66,581",47
