시도명,시군구,누적확진자(명),누적사망자(명),"발생률(인구10만명당, 명)","사망률(인구10만명당, 명)"
서울,합계,"6,751,223","6,675","71,605",71
서울,강남구,"466,700",281,"88,206",53
서울,강동구,"322,114",451,"70,015",98
서울,강북구,"189,588",153,"64,560",52
서울,강서구,"389,391",336,"68,414",59
서울,관악구,"313,617",215,"64,431",44
서울,광진구,"236,985",201,"70,235",60
서울,구로구,"292,362",412,"73,957",104
서울,금천구,"171,776",150,"74,802",65
서울,노원구,"327,864",344,"65,087",68
서울,도봉구,"195,700",233,"62,786",75
서울,동대문구,"231,216",442,"68,683",131
서울,동작구,"248,875",259,"65,391",68
서울,마포구,"276,830",99,"75,919",27
서울,서대문구,"205,854",377,"67,199",123
서울,서초구,"312,009",203,"77,168",50
서울,성동구,"207,557",210,"73,864",75
서울,성북구,"265,917",349,"61,784",81
서울,송파구,"477,841",406,"72,532",62
서울,양천구,"298,287",284,"67,657",64
서울,영등포구,"315,656",345,"84,024",92
서울,용산구,"139,868",130,"63,969",59
서울,은평구,"313,785",264,"67,228",57
서울,종로구,"143,790",232,"101,705",164
서울,중구,"168,492",84,"139,901",70
서울,중랑구,"239,149",215,"62,065",56
부산,합계,"2,092,592","2,941","63,071",89
부산,강서구,"92,315",12,"64,463",8
부산,금정구,"139,187",152,"62,908",69
부산,기장군,"115,927",93,"64,904",52
부산,남구,"149,614",118,"58,367",46
부산,동구,"73,514",153,"85,025",177
부산,동래구,"180,819",272,"66,179",100
부산,부산진구,"207,870",358,"58,404",101
부산,북구,"160,992",185,"57,733",66
부산,사상구,"135,395",207,"66,439",102
부산,사하구,"180,336",221,"59,716",73
부산,서구,"79,231",352,"75,320",335
부산,수영구,"102,351",266,"58,551",152
부산,연제구,"155,062",192,"76,184",94
부산,영도구,"60,992",101,"56,393",93
부산,중구,"26,443",62,"66,626",156
부산,해운대구,"232,544",197,"60,122",51
대구,합계,"1,516,396","2,069","64,133",88
대구,군위군,492,0,0,0
대구,남구,"100,490",423,"71,008",299
대구,달서구,"348,357",288,"64,872",54
대구,달성군,"158,272",110,"60,142",42
대구,동구,"209,268",281,"61,635",83
대구,북구,"261,897",341,"60,777",79
대구,서구,"126,913",241,"79,406",151
대구,수성구,"247,752",159,"60,199",39
대구,중구,"62,955",226,"78,498",282
인천,합계,"1,991,875","1,969","67,127",66
인천,강화군,"38,396",88,"55,006",126
인천,계양구,"189,033",187,"65,442",65
인천,남동구,"334,956",426,"66,173",84
인천,동구,"54,788",43,"92,863",73
인천,미추홀구,"261,040",302,"61,188",71
인천,부평구,"308,661",281,"63,106",57
인천,서구,"390,692",337,"66,330",57
인천,연수구,"296,640",79,"76,890",20
인천,중구,"117,669",226,"76,943",148
광주,합계,"1,018,481",875,"71,170",61
광주,광산구,"299,747",213,"74,814",53
광주,남구,"148,529",100,"69,936",47
광주,동구,"82,019",256,"77,443",242
광주,북구,"276,634",196,"65,135",46
광주,서구,"211,552",110,"73,609",38
대전,합계,"1,013,271","1,011","70,071",70
대전,대덕구,"107,222",88,"62,069",51
대전,동구,"147,641",145,"67,186",66
대전,서구,"318,525",312,"67,717",66
대전,유성구,"288,122",129,"80,912",36
대전,중구,"151,761",337,"66,823",148
울산,합계,"738,120",546,"66,458",49
울산,남구,"235,308",228,"75,750",73
울산,동구,"98,379",95,"64,846",63
울산,북구,"159,886",48,"73,117",22
울산,울주군,"112,653",88,"50,856",40
울산,중구,"131,894",87,"63,370",42
세종,합계,"273,413",60,"71,277",16
세종,세종,"273,413",60,"71,277",16
경기,합계,"9,266,555","8,643","68,189",64
경기,가평군,"39,317",26,"63,261",42
경기,고양시 덕양구,"315,075",333,"64,289",68
경기,고양시 일산동구,"202,306",374,"68,318",126
경기,고양시 일산서구,"195,241",159,"67,249",55
경기,과천시,"55,123",12,"70,547",15
경기,광명시,"211,285",148,"73,377",51
경기,광주시,"231,323",168,"59,092",43
경기,구리시,"135,882",188,"72,009",100
경기,군포시,"185,935",221,"69,844",83
경기,김포시,"349,635",253,"72,199",52
경기,남양주시,"459,642",628,"62,337",85
경기,동두천시,"56,874",118,"62,126",129
경기,부천시,"518,445",701,"65,615",89
경기,성남시 분당구,"369,363",384,"76,702",80
경기,성남시 수정구,"158,241",155,"68,663",67
경기,성남시 중원구,"128,335",87,"60,965",41
경기,수원시 권선구,"235,347",122,"64,049",33
경기,수원시 영통구,"266,373",238,"73,914",66
경기,수원시 장안구,"181,429",98,"67,066",36
경기,수원시 팔달구,"158,013",251,"82,038",130
경기,시흥시,"363,677",242,"70,904",47
경기,안산시 단원구,"223,781",304,"75,348",102
경기,안산시 상록구,"191,530",159,"55,570",46
경기,안성시,"117,382",99,"62,159",52
경기,안양시 동안구,"229,361",159,"73,084",51
경기,안양시 만안구,"152,598",162,"65,103",69
경기,양주시,"148,821",221,"61,135",91
경기,양평군,"70,311",101,"57,480",83
경기,여주시,"67,712",96,"59,843",85
경기,연천군,"28,721",27,"68,283",64
경기,오산시,"172,804",92,"75,182",40
경기,용인시 기흥구,"282,814",253,"64,535",58
경기,용인시 수지구,"235,494",141,"62,391",37
경기,용인시 처인구,"202,321",129,"78,029",50
경기,의왕시,"110,341",80,"68,868",50
경기,의정부시,"307,298",522,"66,267",113
경기,이천시,"164,399",101,"73,814",45
경기,파주시,"331,140",284,"66,854",57
경기,평택시,"427,642",323,"73,919",56
경기,포천시,"90,922",123,"61,978",84
경기,하남시,"216,169",120,"66,298",37
경기,화성시,"678,133",241,"74,454",26
강원,합계,"1,005,827","1,416","65,462",92
강원,강릉시,"139,061",410,"65,787",194
강원,고성군,"16,365",6,"60,002",22
강원,동해시,"58,804",72,"65,757",81
강원,삼척시,"33,207",43,"52,332",68
강원,속초시,"53,976",84,"65,184",101
강원,양구군,"18,521",13,"86,616",61
강원,양양군,"15,202",21,"54,554",75
강원,영월군,"18,947",23,"50,220",61
강원,원주시,"244,210",318,"67,684",88
강원,인제군,"25,420",6,"78,929",19
강원,정선군,"15,412",23,"44,121",66
강원,철원군,"32,429",36,"76,744",85
강원,춘천시,"201,251",226,"70,204",79
강원,태백시,"25,133",22,"63,744",56
강원,평창군,"18,008",32,"43,933",78
강원,홍천군,"42,494",36,"62,512",53
강원,화천군,"24,205",10,"103,493",43
강원,횡성군,"23,182",35,"49,819",75
충북,합계,"1,075,459","1,096","67,424",69
충북,괴산군,"19,167",24,"51,726",65
충북,단양군,"12,694",23,"45,716",83
충북,보은군,"17,796",43,"56,576",137
충북,영동군,"25,657",72,"57,071",160
충북,옥천군,"28,597",55,"57,748",111
충북,음성군,"59,570",49,"64,709",53
충북,제천시,"83,407",140,"63,675",107
충북,증평군,"27,495",16,"73,788",43
충북,진천군,"62,609",51,"72,677",59
충북,청주시 상당구,"139,582",179,"71,061",91
충북,청주시 서원구,"138,082",168,"72,191",88
충북,청주시 청원구,"135,005",67,"69,653",35
충북,청주시 흥덕구,"182,887",89,"68,228",33
충북,충주시,"142,911",120,"68,616",58
충남,합계,"1,390,748","1,645","65,507",77
충남,계룡시,"29,916",10,"67,265",22
충남,공주시,"58,083",148,"56,627",144
충남,금산군,"28,551",52,"56,997",104
충남,논산시,"91,806",92,"81,521",82
충남,당진시,"109,573",126,"65,124",75
충남,보령시,"52,505",41,"54,041",42
충남,부여군,"31,957",53,"51,260",85
충남,서산시,"115,303",137,"65,360",78
충남,서천군,"28,392",60,"56,825",120
충남,아산시,"224,580",189,"67,131",56
충남,예산군,"39,215",58,"50,675",75
충남,천안시 동남구,"154,867",259,"60,578",101
충남,천안시 서북구,"316,643",273,"78,784",68
충남,청양군,"13,804",7,"45,609",23
충남,태안군,"30,482",31,"49,698",51
충남,홍성군,"65,071",109,"66,353",111
전북,합계,"1,167,903","1,279","65,998",72
전북,고창군,"28,507",64,"54,467",122
전북,군산시,"169,778",139,"64,685",53
전북,김제시,"47,119",86,"57,847",106
전북,남원시,"48,162",69,"61,787",89
전북,무주군,"14,233",11,"60,594",47
전북,부안군,"26,047",51,"51,996",102
전북,순창군,"13,990",53,"52,344",198
전북,완주군,"64,678",38,"69,981",41
전북,익산시,"180,655",267,"66,005",98
전북,임실군,"15,721",8,"59,307",30
전북,장수군,"10,480",10,"49,119",47
전북,전주시 덕진구,"172,377",157,"54,050",49
전북,전주시 완산구,"304,108",253,"91,441",76
전북,정읍시,"60,761",64,"57,823",61
전북,진안군,"11,287",9,"45,976",37
전남,합계,"1,142,438","1,090","62,851",60
전남,강진군,"17,213",21,"51,882",63
전남,고흥군,"31,771",62,"51,343",100
전남,곡성군,"14,798",18,"54,686",67
전남,광양시,"96,172",37,"63,201",24
전남,구례군,"14,403",10,"58,418",41
전남,나주시,"80,149",66,"68,823",57
전남,담양군,"23,870",33,"52,127",72
전남,목포시,"158,957",135,"73,273",62
전남,무안군,"60,890",30,"67,202",33
전남,보성군,"21,603",23,"56,154",60
전남,순천시,"200,694",205,"72,001",74
전남,신안군,"11,383",14,"30,068",37
전남,여수시,"181,966",102,"66,226",37
전남,영광군,"29,441",29,"56,404",56
전남,영암군,"27,849",16,"53,152",31
전남,완도군,"22,614",22,"47,511",46
전남,장성군,"23,113",28,"53,569",65
전남,장흥군,"20,403",28,"57,231",79
전남,진도군,"13,783",9,"46,711",31
전남,함평군,"15,434",17,"50,136",55
전남,해남군,"35,255",46,"53,554",70
전남,화순군,"40,677",139,"65,583",224
경북,합계,"1,581,188","2,182","60,822",84
